Source,Target,Weight
Lime Sparkling Water,Sparkling Water Grapefruit,12.09062626
Bunched Cilantro,Limes,6.271837571
Jalapeno Peppers,Limes,6.119578614
Organic Garlic,Organic Ginger Root,6.067659958
Limes,Organic Cilantro,5.775753468
Organic Garlic,Organic Yellow Onion,5.698983355
Organic Garlic,Organic Italian Parsley Bunch,5.574343399
Raspberries,Strawberries,4.723386196
Organic Small Bunch Celery,Organic Yellow Onion,4.605468267
Organic Garlic,Organic Red Onion,4.358727869
Organic Cilantro,Organic Garlic,4.11073243
Large Lemon,Limes,4.103709707
Organic Blackberries,Organic Raspberries,4.009702432
Carrots,Organic Yellow Onion,3.960261384
Limes,Organic Red Onion,3.690604989
Organic Hass Avocado,Organic Lemon,3.644559879
Organic Garlic,Organic Lemon,3.538417825
Organic Lemon,Organic Yellow Onion,3.420739258
Limes,Organic Garlic,3.320715657
Organic Yellow Onion,Organic Zucchini,3.306901139
Organic Cucumber,Organic Hass Avocado,3.268339334
Organic Blueberries,Organic Raspberries,3.155817082
Cucumber Kirby,Large Lemon,3.128568202
Large Lemon,Yellow Onions,3.096158272
Organic Hass Avocado,Organic Tomato Cluster,3.057982527
Organic Kiwi,Organic Strawberries,3.024602086
Limes,Organic Lemon,3.016487026
Organic Raspberries,Organic Strawberries,3.000973201
Organic Garnet Sweet Potato (Yam),Organic Hass Avocado,2.982644097
Organic Baby Spinach,Organic Garnet Sweet Potato (Yam),2.981754047
Organic Garlic,Organic Zucchini,2.970904647
Large Lemon,Organic Garlic,2.938556084
Organic Hass Avocado,Organic Red Bell Pepper,2.935781937
Cucumber Kirby,Organic Avocado,2.909066684
Large Lemon,Organic Avocado,2.908174291
Apple Honeycrisp Organic,Organic Raspberries,2.905159663
Organic Blueberries,Organic Strawberries,2.883704306
Limes,Organic Avocado,2.845746311
Organic Hass Avocado,Organic Raspberries,2.83266931
Bag of Organic Bananas,Organic Navel Orange,2.780257526
Michigan Organic Kale,Organic Baby Spinach,2.754171482
Organic Strawberries,Organic Whole String Cheese,2.750362763
Apple Honeycrisp Organic,Organic Hass Avocado,2.747501088
Seedless Red Grapes,Strawberries,2.731989085
Organic Baby Spinach,Organic Ginger Root,2.717641717
Organic Lemon,Organic Raspberries,2.707708936
Organic Hass Avocado,Organic Large Extra Fancy Fuji Apple,2.673981682
Organic Hass Avocado,Organic Yellow Onion,2.644384145
Organic Avocado,Organic Grape Tomatoes,2.637278001
Bag of Organic Bananas,Organic Large Extra Fancy Fuji Apple,2.63354616
Banana,Bartlett Pears,2.628386755
Michigan Organic Kale,Organic Avocado,2.626676636
Organic Baby Spinach,Organic Cucumber,2.613917191
Organic Hass Avocado,Organic Small Bunch Celery,2.598974668
Organic Baby Spinach,Organic Small Bunch Celery,2.596077292
Organic Cilantro,Organic Hass Avocado,2.595417473
Organic D'Anjou Pears,Organic Strawberries,2.5948493
Organic Baby Spinach,Organic Zucchini,2.588112717
Bag of Organic Bananas,Organic D'Anjou Pears,2.58166164
Banana,Organic Fuji Apple,2.576259109
Limes,Organic Yellow Onion,2.570970764
Organic Hass Avocado,Organic Whole String Cheese,2.557352877
Organic Baby Spinach,Organic Garlic,2.541625957
Organic Avocado,Organic Cilantro,2.527097974
Cucumber Kirby,Limes,2.524893795
Honeycrisp Apple,Organic Avocado,2.51776819
Organic Red Bell Pepper,Organic Strawberries,2.517123441
Organic Baby Spinach,Organic Grape Tomatoes,2.511736897
Bag of Organic Bananas,Organic Raspberries,2.503775409
Organic Cucumber,Organic Strawberries,2.501233633
Organic Hass Avocado,Organic Red Onion,2.483655554
Organic Avocado,Organic Baby Arugula,2.475330669
Bag of Organic Bananas,Organic Hass Avocado,2.472944946
Organic Blackberries,Organic Strawberries,2.447874126
Organic Large Extra Fancy Fuji Apple,Organic Strawberries,2.442153335
Organic Baby Spinach,Organic Unsweetened Almond Milk,2.439500294
Bag of Organic Bananas,Organic Kiwi,2.433882011
Organic Gala Apples,Organic Hass Avocado,2.426847867
Organic Garlic,Organic Hass Avocado,2.426495986
Banana,Honeycrisp Apple,2.422751745
Bag of Organic Bananas,Organic Bartlett Pear,2.407412871
Organic Baby Arugula,Organic Baby Spinach,2.40273491
Fresh Cauliflower,Organic Baby Spinach,2.386232303
Organic Grape Tomatoes,Organic Hass Avocado,2.384243889
Organic Baby Spinach,Organic Red Onion,2.381598273
Organic Hass Avocado,Organic Zucchini,2.364144475
Apple Honeycrisp Organic,Bag of Organic Bananas,2.361366185
Organic Avocado,Organic Baby Spinach,2.321534439
Organic Hass Avocado,Organic Strawberries,2.319879802
Michigan Organic Kale,Organic Hass Avocado,2.310616584
Organic Baby Spinach,Organic Yellow Onion,2.308863654
Organic Baby Spinach,Organic Italian Parsley Bunch,2.308756556
Organic Baby Spinach,Organic Red Bell Pepper,2.282826766
Carrots,Organic Baby Spinach,2.274079603
Large Lemon,Organic Zucchini,2.270828706
Bag of Organic Bananas,Organic Cucumber,2.269453427
Apple Honeycrisp Organic,Organic Strawberries,2.267220366
Organic Baby Arugula,Organic Hass Avocado,2.261246522
Organic Avocado,Organic Garlic,2.260634601
Organic Baby Spinach,Organic Cilantro,2.260442744
Asparagus,Organic Baby Spinach,2.259493334
Banana,Granny Smith Apples,2.254454335
Organic Grape Tomatoes,Organic Strawberries,2.244990505
Banana,Cucumber Kirby,2.24381506
Banana,Broccoli Crown,2.239738013
Fresh Cauliflower,Organic Hass Avocado,2.237072644
Organic Baby Spinach,Organic Tomato Cluster,2.221059212
Limes,Organic Zucchini,2.220607243
Organic Gala Apples,Organic Strawberries,2.217269725
Organic Strawberries,Organic Tomato Cluster,2.20670399
Bag of Organic Bananas,Organic Gala Apples,2.204937119
Organic Baby Carrots,Organic Baby Spinach,2.191147633
Organic Blueberries,Strawberries,2.182180955
Organic Hass Avocado,Original Hummus,2.172724231
Organic Baby Spinach,Organic Hass Avocado,2.171498543
Bag of Organic Bananas,Organic Lemon,2.161226909
Cucumber Kirby,Organic Baby Spinach,2.157037649
Limes,Organic Hass Avocado,2.143914581
Organic Peeled Whole Baby Carrots,Organic Strawberries,2.130853735
Banana,"Clementines, Bag",2.119231476
Organic Baby Spinach,Organic Lemon,2.104216172
Organic Lemon,Organic Strawberries,2.097396514
Organic Strawberries,Organic Whole Milk,2.097355297
Organic Baby Carrots,Organic Strawberries,2.078059717
Bag of Organic Bananas,Organic Garnet Sweet Potato (Yam),2.071828159
Bag of Organic Bananas,Organic Granny Smith Apple,2.066836254
Organic Strawberries,Original Hummus,2.064947616
Banana,Organic Avocado,2.054394714
Large Lemon,Organic Yellow Onion,2.050691524
Organic Strawberries,Seedless Red Grapes,2.046902428
Bag of Organic Bananas,Organic Whole String Cheese,2.045565516
Organic Baby Spinach,Original Hummus,2.043635481
Banana,Seedless Red Grapes,2.023409722
Banana,Organic Reduced Fat Milk,2.01708331
Bag of Organic Bananas,Organic Unsweetened Almond Milk,2.008101941
Banana,Small Hass Avocado,2.007283202
